R14_PINH1,90.99,52.34,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R15_PINH1,85.46,54.21,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R16,36.51,25.32,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R17,32.21,25.30,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R18,30.41,25.28,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R19,34.31,25.26,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R20,78.26,15.21,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R21,10.42,30.89,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2USB,158.44,38.90,90.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3USB1,151.21,44.48,270.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4PWRUSB1,112.63,30.26,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,103.09,1.50,90.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,100.36,6.39,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,100.43,4.33,0.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8BAT,113.02,39.79,180.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9BAT,119.19,35.69,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.04,98.11,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,20.29,97.88,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,86.98,35.92,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.52,97.82,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.29,97.78,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,146.21,-0.33,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,98.65,1.23,180.00,,SJ
SUPERCAP,83.72,34.58,270.00,CPH3225A,CAPCP3225X100N
TP_3V3,82.33,89.31,180.00,TPTP20R,TP20R
TP_EPD_3V3,72.78,20.01,180.00,TPTP20R,TP20R
TP_EPD_3V3_C,68.48,21.61,180.00,TPTP20R,TP20R
TP_EPD_BUSY,60.94,-4.97,180.00,TPTP20R,TP20R
TP_EPD_CS,61.28,7.71,180.00,TPTP20R,TP20R
TP_EPD_DC,61.13,3.61,180.00,TPTP20R,TP20R
TP_EPD_RST,61.03,-0.99,180.00,TPTP20R,TP20R
TP_GND,157.03,53.21,180.00,TPTP20R,TP20R
TP_GND1,76.15,89.21,180.00,TPTP20R,TP20R
TP_INT_RTC,81.78,54.51,180.00,TPTP20R,TP20R
TP_MISO,8.11,62.51,180.00,TPTP20R,TP20R
TP_MOSI,15.54,33.79,180.00,TPTP20R,TP20R
TP_RX,13.69,62.51,180.00,TPTP20R,TP20R
TP_SCK,13.76,31.63,180.00,TPTP20R,TP20R
TP_TX,10.91,62.51,180.00,TPTP20R,TP20R
TP_VBAT,133.37,45.71,180.00,TPTP20R,TP20R
TP_VBUS,154.03,36.81,180.00,TPTP20R,TP20R
U1,122.13,39.01,90.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
U2,16.07,45.43,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U4,134.30,40.60,0.00,MAX17048G+T10,SON50P200X200X80-9N
U5,82.98,45.82,270.00,DS3231SN#,SOIC127P1032X265-16N
U6,36.72,45.64,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
